date,hour,production
2021-02-01,0,0
2021-02-01,1,0
2021-02-01,2,0
2021-02-01,3,0
2021-02-01,4,0
2021-02-01,5,0
2021-02-01,6,0
2021-02-01,7,0
2021-02-01,8,0.189
2021-02-01,9,1.35
2021-02-01,10,1.73
2021-02-01,11,2.73
2021-02-01,12,1.95
2021-02-01,13,1.35
2021-02-01,14,2.04
2021-02-01,15,3.15
2021-02-01,16,5.83
2021-02-01,17,1.35
2021-02-01,18,0
2021-02-01,19,0
2021-02-01,20,0
2021-02-01,21,0
2021-02-01,22,0
2021-02-01,23,0
2021-02-02,0,0
2021-02-02,1,0
2021-02-02,2,0
2021-02-02,3,0
2021-02-02,4,0
2021-02-02,5,0
2021-02-02,6,0
2021-02-02,7,0
2021-02-02,8,1.16
2021-02-02,9,5.04
2021-02-02,10,6.77
2021-02-02,11,7.11
2021-02-02,12,7.87
2021-02-02,13,6.45
2021-02-02,14,5.44
2021-02-02,15,4.88
2021-02-02,16,2.55
2021-02-02,17,0.5
2021-02-02,18,0
2021-02-02,19,0
2021-02-02,20,0
2021-02-02,21,0
2021-02-02,22,0
2021-02-02,23,0
2021-02-03,0,0
2021-02-03,1,0
2021-02-03,2,0
2021-02-03,3,0
2021-02-03,4,0
2021-02-03,5,0
2021-02-03,6,0
2021-02-03,7,0
2021-02-03,8,0.25
2021-02-03,9,0.56
2021-02-03,10,0.91
2021-02-03,11,1.38
2021-02-03,12,2.92
2021-02-03,13,4.59
2021-02-03,14,6.83
2021-02-03,15,5.48
2021-02-03,16,3.71
2021-02-03,17,0.66
2021-02-03,18,0
2021-02-03,19,0
2021-02-03,20,0
2021-02-03,21,0
2021-02-03,22,0
2021-02-03,23,0
2021-02-04,0,0
2021-02-04,1,0
2021-02-04,2,0
2021-02-04,3,0
2021-02-04,4,0
2021-02-04,5,0
2021-02-04,6,0
2021-02-04,7,0
2021-02-04,8,1.9
2021-02-04,9,6.7
2021-02-04,10,5.7
2021-02-04,11,5.7
2021-02-04,12,7.6
2021-02-04,13,7.3
2021-02-04,14,8.9
2021-02-04,15,6.3
2021-02-04,16,3.9
2021-02-04,17,1.4
2021-02-04,18,0
2021-02-04,19,0
2021-02-04,20,0
2021-02-04,21,0
2021-02-04,22,0
2021-02-04,23,0
2021-02-05,0,0
2021-02-05,1,0
2021-02-05,2,0
2021-02-05,3,0
2021-02-05,4,0
2021-02-05,5,0
2021-02-05,6,0
2021-02-05,7,0
2021-02-05,8,1.83
2021-02-05,9,6.42
2021-02-05,10,7.84
2021-02-05,11,7.65
2021-02-05,12,7.87
2021-02-05,13,7.93
2021-02-05,14,7.75
2021-02-05,15,7.75
2021-02-05,16,5.32
2021-02-05,17,0.976
2021-02-05,18,0
2021-02-05,19,0
2021-02-05,20,0
2021-02-05,21,0
2021-02-05,22,0
2021-02-05,23,0
2021-02-06,0,0
2021-02-06,1,0
2021-02-06,2,0
2021-02-06,3,0
2021-02-06,4,0
2021-02-06,5,0
2021-02-06,6,0
2021-02-06,7,0
2021-02-06,8,2.42
2021-02-06,9,7.4
2021-02-06,10,7.8
2021-02-06,11,7.59
2021-02-06,12,7.52
2021-02-06,13,7.62
2021-02-06,14,8.28
2021-02-06,15,7.24
2021-02-06,16,5.79
2021-02-06,17,1.67
2021-02-06,18,0
2021-02-06,19,0
2021-02-06,20,0
2021-02-06,21,0
2021-02-06,22,0
2021-02-06,23,0
2021-02-07,0,0
2021-02-07,1,0
2021-02-07,2,0
2021-02-07,3,0
2021-02-07,4,0
2021-02-07,5,0
2021-02-07,6,0
2021-02-07,7,0
2021-02-07,8,2.58
2021-02-07,9,7.11
2021-02-07,10,7.84
2021-02-07,11,6.75
2021-02-07,12,8.25
2021-02-07,13,8.06
2021-02-07,14,7.84
2021-02-07,15,7.08
2021-02-07,16,5.79
2021-02-07,17,1.85
2021-02-07,18,0
2021-02-07,19,0
2021-02-07,20,0
2021-02-07,21,0
2021-02-07,22,0
2021-02-07,23,0
2021-02-08,0,0
2021-02-08,1,0
2021-02-08,2,0
2021-02-08,3,0
2021-02-08,4,0
2021-02-08,5,0
2021-02-08,6,0
2021-02-08,7,0
2021-02-08,8,0.88
2021-02-08,9,3
2021-02-08,10,2.96
2021-02-08,11,1.54
2021-02-08,12,2.01
2021-02-08,13,1.7
2021-02-08,14,1.35
2021-02-08,15,0.69
2021-02-08,16,0.88
2021-02-08,17,0.5
2021-02-08,18,0
2021-02-08,19,0
2021-02-08,20,0
2021-02-08,21,0
2021-02-08,22,0
2021-02-08,23,0
2021-02-09,0,0
2021-02-09,1,0
2021-02-09,2,0
2021-02-09,3,0
2021-02-09,4,0
2021-02-09,5,0
2021-02-09,6,0
2021-02-09,7,0
2021-02-09,8,1.95
2021-02-09,9,6.52
2021-02-09,10,7.78
2021-02-09,11,7.49
2021-02-09,12,7.96
2021-02-09,13,7.93
2021-02-09,14,7.74
2021-02-09,15,7.86
2021-02-09,16,6.01
2021-02-09,17,1.88
2021-02-09,18,0
2021-02-09,19,0
2021-02-09,20,0
2021-02-09,21,0
2021-02-09,22,0
2021-02-09,23,0
2021-02-10,0,0
2021-02-10,1,0
2021-02-10,2,0
2021-02-10,3,0
2021-02-10,4,0
2021-02-10,5,0
2021-02-10,6,0
2021-02-10,7,0
2021-02-10,8,2.205
2021-02-10,9,4.41
2021-02-10,10,1.764
2021-02-10,11,3.969
2021-02-10,12,4.788
2021-02-10,13,6.615
2021-02-10,14,7.686
2021-02-10,15,7.875
2021-02-10,16,6.048
2021-02-10,17,1.921
2021-02-10,18,0
2021-02-10,19,0
2021-02-10,20,0
2021-02-10,21,0
2021-02-10,22,0
2021-02-10,23,0
2021-02-11,0,0
2021-02-11,1,0
2021-02-11,2,0
2021-02-11,3,0
2021-02-11,4,0
2021-02-11,5,0
2021-02-11,6,0
2021-02-11,7,0
2021-02-11,8,2.77
2021-02-11,9,7.02
2021-02-11,10,8
2021-02-11,11,8.09
2021-02-11,12,8.22
2021-02-11,13,8.12
2021-02-11,14,6.93
2021-02-11,15,7.78
2021-02-11,16,6.26
2021-02-11,17,1.92
2021-02-11,18,0
2021-02-11,19,0
2021-02-11,20,0
2021-02-11,21,0
2021-02-11,22,0
2021-02-11,23,0
2021-02-12,0,0
2021-02-12,1,0
2021-02-12,2,0
2021-02-12,3,0
2021-02-12,4,0
2021-02-12,5,0
2021-02-12,6,0
2021-02-12,7,0
2021-02-12,8,1.95
2021-02-12,9,6.14
2021-02-12,10,7.37
2021-02-12,11,7.65
2021-02-12,12,5
2021-02-12,13,3.52
2021-02-12,14,1.7
2021-02-12,15,2.64
2021-02-12,16,2.23
2021-02-12,17,1.41
2021-02-12,18,0
2021-02-12,19,0
2021-02-12,20,0
2021-02-12,21,0
2021-02-12,22,0
2021-02-12,23,0
